label,review
1,嗯，放松的时候，应该最喜欢看，嗯，看电影吧。因为，看电影是一个娱乐性比较强的活动，然后，也不是特别需要动脑子，所以，哎，反正我最近看电影
0,讨厌的人呢，应该比较讨厌那种，就特别以自我为中心的，要么就是，然后，就什么事情他都觉得自己他很对，然后，特别喜欢和你争论那种人，我特别讨厌。然后，嗯，要不然就是，不太懂得，知道，就人与人之间交往的分寸那样的人我，也挺讨厌的
1,我放松的时候最喜欢打游戏吧，因为打游戏的时候不用想太多的事情，就全身心的投入到游戏中去赢一把游戏
0,"我上一次和别人争吵应该是上上周的周末，和我弟的一次争吵，主要原因是他把我的一张电话卡给弄丢了，然后我就很生气，和他吵了一架
"
1,"我放松的时候最喜欢晒太阳。
"
0,"上一次和别人正常差不多就是两分钟前吧，因为他总是打断我说话，总是不能够倾听我说话，所以我就觉得跟他没话好说了，不想和他说话了。有时候跟别人争吵不是说把喉咙嗓子扯得很高，而是不想听他说话。
"
1,"那是一个比较开朗热心的人。倒不是说哪些地方吸引，只能说让人很安心。
"
0,"记不清了。人在接触网络的过程中总会因为这样那样的原因，也许只是情绪的冲动。
"
1,"我上课也和朋友一起打游戏。
"
0,"这不清楚，应该很久没有和别人争吵过了。应该说稍微有点像争吵的应该就是打游戏的时候和朋友有一些争执吧，但就是很普通的那种，算不上争执吧可能。
"
1,"上一次感到开心是和咨询师聊到自己的人生观念以及自己的一些判断能力的时候，被认可逻辑思维没有出问题以及价值观念分有很多种，和其他人不一样也是可以的。这样一个情况下我会觉得挺开心的。
"
0,"上一次争吵是回家的时候，爷爷一直要跟给我灌输他觉得一个人要怎样去思考。虽然他说东西误事，能够理解，但是我觉得太由人这样很轻松愉快地谈论一些理所当然的事给我造成很大的精神负担，我不想去附和他们去讲一些假大空的事情，没有什么细节，对我没有什么太大帮助。
"
1,"我上一次感到开心应该是周末的时候去大学路闲逛，然后吃了晚饭，然后一个人走回学校路上感觉还挺开心的。就可能是运动的快乐，就吃完好吃的之后运动的快乐。
"
0,"有点不太记得，我上一次和别人争吵应该是，可能是，应该是三周以前了吧。原因是我的朋友处于备考考研的阶段，他的心理压力也比较大，在这个过程中，就因为我也处于一个比较敏感的时期，所以两个人就发生了一点比较小的摩擦。不过很快就解决了，因为我本身就不是一个很容易和别人发生争吵的人，而且发现了矛盾之后就很快冷静下来分析原因。然后对方也是一个比较冷静的人，所以很快这个问题就解决了。
"
1,在同济心理中心做助管很开心。
0,已经记不得了，很久没有和人争吵了。
1,今天天气很好。
0,忘记了，没有跟别人争吵过。
1,在操场上体育课的时候听到了喜欢的乐队的歌。
0,"上周五和男朋友吵架。因为他周四就跟我说要过来找我，然后推到了周五。周五又推了一次，我说，他不舒服就回去休息，但是他一定要来。在我准备好了之后他又跟我说他来不了了。
"
